time,mu1,mu2,mu3,sigma1,sigma2,sigma3
13/3/12 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 11:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 13:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 14:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 14:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 14:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 11:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 13:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 14:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 14:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 14:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 11:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 13:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 14:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 14:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 14:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 11:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 13:50,0.0,0.0,0.0,0.0,0.0,0.0
