time,mu1,mu2,mu3,sigma1,sigma2,sigma3
13/3/12 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/12 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/13 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/14 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/22 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/25 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/26 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/27 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/28 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/29 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/1 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/2 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/3 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/8 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/8 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/8 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/8 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/9 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/9 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/9 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/9 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/10 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/10 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/10 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/10 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/11 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/11 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/11 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/11 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/12 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/12 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/12 13:00,0.0,0.0,0.0,0.0,0.0,0.0
